"Education_Fact_ID","Location_ID","Indicator_ID","Source_ID","Year_ID","Total","Female","Male","Urban","Rural","Poorest","Second","Middle","Fourth","Richest"
169,169,1,1,9,99.7155532836914,99.743896484375,99.6884994506836,NULL,NULL,NULL,NULL,NULL,NULL,NULL
170,170,1,1,9,98.7819366455078,99.0445938110352,98.5094833374023,NULL,NULL,NULL,NULL,NULL,NULL,NULL
171,171,1,1,9,99.3362503051758,99.3823928833008,99.2922286987305,NULL,NULL,NULL,NULL,NULL,NULL,NULL
172,172,1,1,9,73,73.4899978637695,72.5100021362305,NULL,NULL,NULL,NULL,NULL,NULL,NULL
173,173,1,1,9,98.6455612182617,98.3999633789062,98.8754425048828,NULL,NULL,NULL,NULL,NULL,NULL,NULL
174,174,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
175,175,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
176,176,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
177,177,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
178,178,1,1,9,98.1371688842773,98.5939331054688,97.6908798217773,NULL,NULL,NULL,NULL,NULL,NULL,NULL
179,179,1,1,9,83.5390319824219,84.6505126953125,82.4584808349609,NULL,NULL,NULL,NULL,NULL,NULL,NULL
180,180,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
181,181,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
182,182,1,1,9,99.4411163330078,99.5397796630859,99.3487091064453,NULL,NULL,NULL,NULL,NULL,NULL,NULL
183,183,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
184,184,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
185,185,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
186,186,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
187,187,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
188,188,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
189,189,1,1,9,89.3963088989258,89.9506378173828,88.8268966674805,NULL,NULL,NULL,NULL,NULL,NULL,NULL
190,190,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
191,191,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
192,192,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
193,193,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
194,194,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
195,195,1,1,9,98.8802719116211,99.1659927368164,98.6047515869141,NULL,NULL,NULL,NULL,NULL,NULL,NULL
196,196,1,1,9,99.9999389648438,99.9999237060547,99.9999313354492,NULL,NULL,NULL,NULL,NULL,NULL,NULL
197,197,1,1,9,96.2821197509766,96.5966110229492,95.9765701293945,NULL,NULL,NULL,NULL,NULL,NULL,NULL
198,198,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
199,199,1,1,9,98.4080963134766,98.353141784668,98.4601211547852,NULL,NULL,NULL,NULL,NULL,NULL,NULL
200,200,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
201,201,1,1,9,92.0915679931641,91.6281890869141,92.5596389770508,NULL,NULL,NULL,NULL,NULL,NULL,NULL
202,202,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
203,1,2,1,9,43.019718170166,29.8052101135254,55.4754486083984,NULL,NULL,NULL,NULL,NULL,NULL,NULL
204,2,2,1,9,98.1411514282227,97.7611236572266,98.5136184692383,NULL,NULL,NULL,NULL,NULL,NULL,NULL
205,3,2,1,9,81.4078369140625,75.3229675292969,87.4229583740234,NULL,NULL,NULL,NULL,NULL,NULL,NULL
206,4,2,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
207,5,2,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
208,6,2,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
209,7,2,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
210,8,2,1,9,99.0038681030273,99.0620422363281,98.9377365112305,NULL,NULL,NULL,NULL,NULL,NULL,NULL
211,9,2,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
212,10,2,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
213,11,2,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
214,12,2,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
215,13,2,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
216,14,2,1,9,97.4641876220703,94.9488830566406,98.7631683349609,NULL,NULL,NULL,NULL,NULL,NULL,NULL
217,15,2,1,10,74.6844635009766,71.9483871459961,77.4414901733398,NULL,NULL,NULL,NULL,NULL,NULL,NULL
218,16,2,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
219,17,2,1,9,99.7565612792969,99.7251815795898,99.7939834594727,NULL,NULL,NULL,NULL,NULL,NULL,NULL
220,18,2,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
221,19,2,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
222,20,2,1,9,42.3624000549316,31.0716495513916,53.9770317077637,NULL,NULL,NULL,NULL,NULL,NULL,NULL
223,21,2,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
224,22,2,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
225,23,2,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
226,24,2,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
227,25,2,1,9,93.2275009155273,93.4250717163086,93.0090408325195,NULL,NULL,NULL,NULL,NULL,NULL,NULL
228,26,2,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
229,27,2,1,9,97.214111328125,96.3012619018555,98.0536193847656,NULL,NULL,NULL,NULL,NULL,NULL,NULL
230,28,2,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
231,29,2,1,9,41.2244491577148,32.6876182556152,50.0745887756348,NULL,NULL,NULL,NULL,NULL,NULL,NULL
232,30,2,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
233,31,2,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
234,32,2,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
235,33,2,1,9,77.0710372924805,71.5862731933594,82.6280364990234,NULL,NULL,NULL,NULL,NULL,NULL,NULL
236,34,2,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
237,35,2,1,9,37.3958206176758,25.7563800811768,49.514591217041,NULL,NULL,NULL,NULL,NULL,NULL,NULL
238,36,2,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
239,37,2,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
240,38,2,1,9,96.8408889770508,95.1593322753906,98.4665374755859,NULL,NULL,NULL,NULL,NULL,NULL,NULL
241,39,2,1,9,95.0925064086914,95.3189163208008,94.8518295288086,NULL,NULL,NULL,NULL,NULL,NULL,NULL
242,40,2,1,9,58.8170204162598,52.9563903808594,64.6442031860352,NULL,NULL,NULL,NULL,NULL,NULL,NULL
243,41,2,1,9,80.2987594604492,74.6187591552734,86.0765075683594,NULL,NULL,NULL,NULL,NULL,NULL,NULL
244,42,2,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
