"Fact_ID","Location_ID","Indicator_ID","Source_ID","Year_ID","Obs_Value"
520,135,21,2,10,169
521,136,21,2,7,41864
522,136,21,2,8,41392
523,136,21,2,9,41067
524,136,21,2,10,40623
525,137,21,2,7,1
526,137,21,2,8,1
527,137,21,2,9,1
528,137,21,2,10,1
529,138,21,2,7,237
530,138,21,2,8,232
531,138,21,2,9,228
532,138,21,2,10,223
533,139,21,2,7,1783
534,139,21,2,8,1762
535,139,21,2,9,1740
536,139,21,2,10,1710
537,140,21,2,7,413
538,140,21,2,8,402
539,140,21,2,9,390
540,140,21,2,10,381
541,141,21,2,7,1771
542,141,21,2,8,1688
543,141,21,2,9,1611
544,141,21,2,10,1536
545,142,21,2,7,9316
546,142,21,2,8,9207
547,142,21,2,9,9087
548,142,21,2,10,8952
549,143,21,2,7,418
550,143,21,2,8,410
551,143,21,2,9,401
552,143,21,2,10,391
553,144,21,2,7,88
554,144,21,2,8,105
555,144,21,2,9,80
556,144,21,2,10,74
557,145,21,2,7,37
558,145,21,2,8,36
559,145,21,2,9,35
560,145,21,2,10,34
561,146,21,2,7,407
562,146,21,2,8,386
563,146,21,2,9,370
564,146,21,2,10,355
565,147,21,2,7,115
566,147,21,2,8,116
567,147,21,2,9,116
568,147,21,2,10,117
569,148,21,2,7,416
570,148,21,2,8,395
571,148,21,2,9,370
572,148,21,2,10,343
573,149,21,2,7,3709
574,149,21,2,8,3600
575,149,21,2,9,3459
576,149,21,2,10,3291
577,150,21,2,7,3342
578,150,21,2,8,3218
579,150,21,2,9,3114
580,150,21,2,10,3031
581,151,21,2,7,2
582,151,21,2,8,2
583,151,21,2,9,2
584,151,21,2,10,2
585,152,21,2,7,8
586,152,21,2,8,7
587,152,21,2,9,7
588,152,21,2,10,7
589,153,21,2,7,9
590,153,21,2,8,9
591,153,21,2,9,9
592,153,21,2,10,8
593,154,21,2,7,18
594,154,21,2,8,18
595,154,21,2,9,17
596,154,21,2,10,17
597,155,21,2,7,0
598,155,21,2,8,0
599,155,21,2,9,0
600,155,21,2,10,0
601,156,21,2,7,38
602,156,21,2,8,37
603,156,21,2,9,36
604,156,21,2,10,36
605,157,21,2,7,1032
606,157,21,2,8,1003
607,157,21,2,9,979
608,157,21,2,10,963
609,158,21,2,7,5045
610,158,21,2,8,4870
611,158,21,2,9,4732
612,158,21,2,10,4629
613,159,21,2,7,125
614,159,21,2,8,121
615,159,21,2,9,118
616,159,21,2,10,113
617,160,21,2,7,4
618,160,21,2,8,4
619,160,21,2,9,4
620,160,21,2,10,4
621,161,21,2,7,4852
622,161,21,2,8,4730
623,161,21,2,9,4606
624,161,21,2,10,4485
625,162,21,2,7,37
626,162,21,2,8,35
627,162,21,2,9,34
628,162,21,2,10,32
629,163,21,2,7,76
630,163,21,2,8,74
631,163,21,2,9,72
632,163,21,2,10,71
633,164,21,2,7,16
634,164,21,2,8,15
635,164,21,2,9,15
636,164,21,2,10,15
637,165,21,2,7,73
638,165,21,2,8,73
639,165,21,2,9,72
640,165,21,2,10,73
641,166,21,2,7,11882
642,166,21,2,8,11782
643,166,21,2,9,11650
644,166,21,2,10,11566
645,167,21,2,7,7077
646,167,21,2,8,6706
647,167,21,2,9,6393
648,167,21,2,10,6106
649,168,21,2,7,6207
650,168,21,2,8,6237
651,168,21,2,9,6254
652,168,21,2,10,6273
653,169,21,2,7,379
654,169,21,2,8,367
655,169,21,2,9,355
656,169,21,2,10,340
657,170,21,2,7,708
658,170,21,2,8,652
659,170,21,2,9,609
660,170,21,2,10,571
661,171,21,2,7,381
662,171,21,2,8,377
663,171,21,2,9,375
664,171,21,2,10,373
665,172,21,2,7,9538
666,172,21,2,8,9392
667,172,21,2,9,9225
668,172,21,2,10,9105
669,173,21,2,7,32
670,173,21,2,8,32
671,173,21,2,9,32
672,173,21,2,10,30
673,174,21,2,7,86
674,174,21,2,8,86
675,174,21,2,9,84
676,174,21,2,10,83
677,175,21,2,7,59
678,175,21,2,8,58
679,175,21,2,9,57
680,175,21,2,10,56
681,176,21,2,7,11297
682,176,21,2,8,8981
683,176,21,2,9,5536
684,176,21,2,10,3495
685,177,21,2,7,297
686,177,21,2,8,297
687,177,21,2,9,300
688,177,21,2,10,303
689,178,21,2,7,3651
690,178,21,2,8,3566
691,178,21,2,9,3489
692,178,21,2,10,3408
693,179,21,2,7,283
694,179,21,2,8,274
695,179,21,2,9,264
696,179,21,2,10,257
697,180,21,2,7,2880
698,180,21,2,8,2835
699,180,21,2,9,2791
700,180,21,2,10,2744
701,182,21,2,7,6
702,182,21,2,8,6
703,182,21,2,9,6
704,182,21,2,10,6
705,183,21,2,7,48
706,183,21,2,8,48
707,183,21,2,9,46
708,183,21,2,10,45
709,184,21,2,7,547
710,184,21,2,8,560
711,184,21,2,9,574
712,184,21,2,10,587
713,185,21,2,7,3066
714,185,21,2,8,2895
715,185,21,2,9,2751
716,185,21,2,10,2623
717,186,21,2,7,410
718,186,21,2,8,413
719,186,21,2,9,420
720,186,21,2,10,426
721,188,21,2,7,2
722,188,21,2,8,2
723,188,21,2,9,2
724,188,21,2,10,2
725,189,21,2,7,18062
726,189,21,2,8,18156
727,189,21,2,9,18260
728,189,21,2,10,18308
729,190,21,2,7,870
730,190,21,2,8,856
731,190,21,2,9,841
732,190,21,2,10,823
733,191,21,2,7,164
734,191,21,2,8,170
735,191,21,2,9,174
736,191,21,2,10,178
737,192,21,2,7,624
738,192,21,2,8,621
739,192,21,2,9,619
740,192,21,2,10,613
741,193,21,2,7,18702
742,193,21,2,8,18773
743,193,21,2,9,18784
744,193,21,2,10,18812
745,194,21,2,7,5565
746,194,21,2,8,5657
747,194,21,2,9,5711
748,194,21,2,10,5705
749,195,21,2,7,85
750,195,21,2,8,82
751,195,21,2,9,80
752,195,21,2,10,77
753,196,21,2,7,2185
754,196,21,2,8,2228
755,196,21,2,9,2262
756,196,21,2,10,2283
757,197,21,2,7,40
758,197,21,2,8,41
759,197,21,2,9,41
760,197,21,2,10,41
761,198,21,2,7,1933
762,198,21,2,8,1908
763,198,21,2,9,1880
764,198,21,2,10,1862
765,199,21,2,7,3869
766,199,21,2,8,3781
767,199,21,2,9,3704
768,199,21,2,10,3632
769,200,21,2,7,6775
770,200,21,2,8,6967
771,200,21,2,9,9380
772,200,21,2,10,9287
773,201,21,2,7,5894
774,201,21,2,8,5813
775,201,21,2,9,5728
776,201,21,2,10,5648
777,202,21,2,7,4779
778,202,21,2,8,4767
779,202,21,2,9,4774
780,202,21,2,10,4765
781,1,20,2,7,19149
782,1,20,2,8,18119
783,1,20,2,9,17201
784,1,20,2,10,16389
785,2,20,2,7,37
786,2,20,2,8,37
787,2,20,2,9,37
788,2,20,2,10,37
789,3,20,2,7,3407
790,3,20,2,8,3419
791,3,20,2,9,3404
792,3,20,2,10,3361
793,4,20,2,7,0
794,4,20,2,8,0
795,4,20,2,9,0
796,4,20,2,10,0
797,5,20,2,7,32414
798,5,20,2,8,31295
799,5,20,2,9,30424
800,5,20,2,10,29474
801,7,20,2,7,1
802,7,20,2,8,2
803,7,20,2,9,1
804,7,20,2,10,1
805,8,20,2,7,897
806,8,20,2,8,855
807,8,20,2,9,813
808,8,20,2,10,773
809,9,20,2,7,64
810,9,20,2,8,61
811,9,20,2,9,57
812,9,20,2,10,55
813,10,20,2,7,183
814,10,20,2,8,181
815,10,20,2,9,178
816,10,20,2,10,174
817,11,20,2,7,53
818,11,20,2,8,53
819,11,20,2,9,54
820,11,20,2,10,54
821,12,20,2,7,478
822,12,20,2,8,445
823,12,20,2,9,413
824,12,20,2,10,381
825,13,20,2,7,10
826,13,20,2,8,10
827,13,20,2,9,9
828,13,20,2,10,9
829,14,20,2,7,22
830,14,20,2,8,22
831,14,20,2,9,22
832,14,20,2,10,22
833,15,20,2,7,19341
834,15,20,2,8,17823
835,15,20,2,9,16503
836,15,20,2,10,15308
837,16,20,2,7,3
838,16,20,2,8,3
839,16,20,2,9,3
840,16,20,2,10,3
841,17,20,2,7,108
842,17,20,2,8,102
843,17,20,2,9,97
844,17,20,2,10,92
845,18,20,2,7,93
846,18,20,2,8,90
847,18,20,2,9,87
848,18,20,2,10,84
849,19,20,2,7,16
850,19,20,2,8,15
851,19,20,2,9,14
852,19,20,2,10,14
853,20,20,2,7,13112
854,20,20,2,8,12956
855,20,20,2,9,12776
856,20,20,2,10,12558
857,21,20,2,7,70
858,21,20,2,8,66
859,21,20,2,9,64
860,21,20,2,10,60
861,22,20,2,7,1377
862,22,20,2,8,1304
863,22,20,2,9,1237
864,22,20,2,10,1181
865,23,20,2,7,27
866,23,20,2,8,25
867,23,20,2,9,25
868,23,20,2,10,23
869,24,20,2,7,599
870,24,20,2,8,636
871,24,20,2,9,604
872,24,20,2,10,527
873,25,20,2,7,5179
874,25,20,2,8,4668
875,25,20,2,9,4521
876,25,20,2,10,4378
877,27,20,2,7,13
878,27,20,2,8,13
879,27,20,2,9,13
880,27,20,2,10,13
881,28,20,2,7,87
882,28,20,2,8,81
883,28,20,2,9,76
884,28,20,2,10,71
885,29,20,2,7,26894
886,29,20,2,8,26056
887,29,20,2,9,25186
888,29,20,2,10,24306
889,30,20,2,7,7915
890,30,20,2,8,7600
891,30,20,2,9,7285
892,30,20,2,10,6999
893,31,20,2,7,28
894,31,20,2,8,26
895,31,20,2,9,24
896,31,20,2,10,23
897,32,20,2,7,1548
898,32,20,2,8,1487
899,32,20,2,9,1428
